Customer Id,CustomerChurn,LastInvoiceDate,AvgInvoiceAmount,LocationName,Zip,AvgMiles,NoCalls,ClaimsMade,DelayedQuote,PickupDelay,DeliveryDelay,VolumeChange,PriceChangedPostQuote,CompetitorsPresent,CurrentInflation
26342,1,2014-08-05,4935,"Carlyle,Illinois",62231,433.5024921,0,0,0,0,0,0,0,0,1
38851,0,2017-10-17,24312,"White Rock,New Mexico",87547,2401.160037,0,0,1,1,1,0,0,0,1
32312,0,2016-03-31,5881,"Youngstown,Ohio",44510,568.082307,0,0,0,0,0,0,0,0,1
46203,0,2014-03-17,19058,"Santa Clarita,California",91350,1865.804156,0,0,0,1,1,0,0,0,0
12234,0,2014-05-05,15413,"Largo,Florida",33779,1501.318918,1,0,0,0,0,0,0,0,1
50387,0,2016-09-01,12187,"Preston,Oklahoma",74456,1173.738409,0,0,1,1,1,0,0,0,1
33515,0,2017-11-09,25010,"Astor,Florida",32102,2441.015116,0,0,0,0,0,0,0,0,1
39650,1,2014-08-18,9346,"Ann Arbor, MI ",48108,869.567879,0,0,0,1,1,1,0,1,1
2862,0,2017-06-25,37314,"Huntington Beach,California",92649,3711.39158,0,0,1,1,1,0,0,0,1
32796,0,2014-10-30,11154,"Hull,Texas",77564,1050.430088,0,0,0,0,0,0,0,0,1
47370,0,2016-01-08,18914,"New Columbia,Pennsylvania",17856,1871.435381,0,0,1,1,1,0,0,0,1
38284,0,2015-08-17,22981,"Torrance,California",90506,2278.103059,1,0,0,0,0,0,0,0,0
46541,0,2017-01-28,11336,"Saint Joe,Indiana",46785,1083.586306,0,0,0,1,0,0,0,0,1
50829,0,2014-05-13,2700,"Knoxville,Alabama",35469,209.998295,0,0,1,0,0,0,0,0,1
25027,0,2016-02-05,23059,"Boise,Idaho",83715,2260.94751,0,0,1,1,0,0,0,0,1
8004,0,2015-03-14,17101,"Oakley,Idaho",83346,1670.104324,1,0,1,0,0,0,0,0,0
19684,0,2014-11-29,10547,"Walton,West Virginia",25286,1009.67152,0,0,0,1,0,0,0,0,0
54534,0,2013-06-18,9764,"Macon,Georgia",31208,911.439685,0,0,0,1,0,0,0,0,0
13403,0,2014-02-14,14805,"Dallas,Texas",75250,1440.489478,0,0,0,1,0,0,0,0,0
23839,0,2017-01-05,14952,"La Quinta,California",92248,1430.212682,0,0,0,1,0,0,0,0,1
54556,0,2015-04-28,9947,"Petros,Tennessee",37845,954.6983113,0,0,0,0,0,0,0,0,0
59712,0,2014-03-04,13524,"Minot,North Dakota",58707,1312.386259,0,0,0,0,0,0,0,0,0
6584,0,2013-01-12,15462,"West Hempstead,New York",11552,1521.17737,0,0,0,0,0,0,0,0,0
27072,0,2013-01-27,8981,"Tulsa,Oklahoma",74110,848.1355924,0,0,0,0,0,0,0,0,0
23023,0,2013-08-12,17666,"Litchville,North Dakota",58461,1731.609973,0,0,0,0,0,0,0,0,0
29724,0,2015-01-22,37393,"Ocean Bluff,Massachusetts",2065,3709.305123,0,0,0,0,0,0,0,0,0
